,First Name,Last Name,Party,MP
0,Ida,Auken,Socialdemokratiet (S),Medlem af Folketinget
1,Trine,Bramsen,Socialdemokratiet (S),Medlem af Folketinget
2,Bjørn,Brandenborg,Socialdemokratiet (S),Medlem af Folketinget
3,Jeppe,Bruus,Socialdemokratiet (S),Medlem af Folketinget
4,Morten,Bødskov,Socialdemokratiet (S),Medlem af Folketinget
5,Lennart,Damsbo-Andersen,Socialdemokratiet (S),Medlem af Folketinget
6,Kaare,Dybvad Bek,Socialdemokratiet (S),Medlem af Folketinget
7,Benny,Engelbrecht,Socialdemokratiet (S),Medlem af Folketinget
8,Camilla,Fabricius,Socialdemokratiet (S),Medlem af Folketinget
9,Mette,Frederiksen,Socialdemokratiet (S),Medlem af Folketinget
10,Mette,Gjerskov,Socialdemokratiet (S),Medlem af Folketinget
11,Karin,Gaardsted,Socialdemokratiet (S),Stedfortræder
12,Ane,Halsboe-Jørgensen,Socialdemokratiet (S),Medlem af Folketinget
13,Orla,Hav,Socialdemokratiet (S),Medlem af Folketinget
14,Magnus,Heunicke,Socialdemokratiet (S),Medlem af Folketinget
15,Peter,Hummelgaard,Socialdemokratiet (S),Medlem af Folketinget
16,Nick,Hækkerup,Socialdemokratiet (S),Medlem af Folketinget
17,Daniel Toft,Jakobsen,Socialdemokratiet (S),Medlem af Folketinget
18,Thomas,Jensen,Socialdemokratiet (S),Medlem af Folketinget
19,Leif Lahn,Jensen,Socialdemokratiet (S),Medlem af Folketinget
20,Mogens,Jensen,Socialdemokratiet (S),Medlem af Folketinget
21,Jens,Joel,Socialdemokratiet (S),Medlem af Folketinget
22,Jan,Johansen,Socialdemokratiet (S),Medlem af Folketinget
23,Dan,Jørgensen,Socialdemokratiet (S),Medlem af Folketinget
24,Kasper Sand,Kjær,Socialdemokratiet (S),Medlem af Folketinget
25,Simon,Kollerup,Socialdemokratiet (S),Medlem af Folketinget
26,Astrid,Krag,Socialdemokratiet (S),Medlem af Folketinget
27,Henrik Dam,Kristensen,Socialdemokratiet (S),Medlem af Folketinget
28,Anders,Kronborg,Socialdemokratiet (S),Medlem af Folketinget
29,Rasmus Horn,Langhoff,Socialdemokratiet (S),Medlem af Folketinget
30,Malte,Larsen,Socialdemokratiet (S),Medlem af Folketinget
31,Tanja,Larsson,Socialdemokratiet (S),Medlem af Folketinget
32,Bjarne,Laustsen,Socialdemokratiet (S),Medlem af Folketinget
33,Annette,Lind,Socialdemokratiet (S),Medlem af Folketinget
34,Christian Rabjerg,Madsen,Socialdemokratiet (S),Medlem af Folketinget
35,Flemming Møller,Mortensen,Socialdemokratiet (S),Medlem af Folketinget
36,Henrik,Møller,Socialdemokratiet (S),Medlem af Folketinget
37,Anne,Paulin,Socialdemokratiet (S),Medlem af Folketinget
38,Jesper,Petersen,Socialdemokratiet (S),Medlem af Folketinget
39,Rasmus,Prehn,Socialdemokratiet (S),Medlem af Folketinget
40,Lars Aslan,Rasmussen,Socialdemokratiet (S),Medlem af Folketinget
41,Troels,Ravn,Socialdemokratiet (S),Medlem af Folketinget
42,Pernille,Rosenkrantz-Theil,Socialdemokratiet (S),Medlem af Folketinget
43,Kasper,Roug,Socialdemokratiet (S),Medlem af Folketinget
44,Julie,Skovsby,Socialdemokratiet (S),Medlem af Folketinget
45,Rasmus,Stoklund,Socialdemokratiet (S),Medlem af Folketinget
46,Mattias,Tesfaye,Socialdemokratiet (S),Medlem af Folketinget
47,Birgitte,Vind,Socialdemokratiet (S),Medlem af Folketinget
48,Nicolai,Wammen,Socialdemokratiet (S),Medlem af Folketinget
49,Lea,Wermelin,Socialdemokratiet (S),Medlem af Folketinget
50,Tommy,Ahlers,Venstre (V),Medlem af Folketinget
51,Marlene,Ambo-Rasmussen,Venstre (V),Medlem af Folketinget
52,Hans,Andersen,Venstre (V),Medlem af Folketinget
53,Heidi,Bank,Venstre (V),Medlem af Folketinget
54,Marie,Bjerre,Venstre (V),Medlem af Folketinget
55,Erling,Bonnesen,Venstre (V),Medlem af Folketinget
56,Morten,Dahlin,Venstre (V),Medlem af Folketinget
57,Thomas,Danielsen,Venstre (V),Medlem af Folketinget
58,Louise Schack,Elholm,Venstre (V),Medlem af Folketinget
59,Karen,Ellemann,Venstre (V),Medlem af Folketinget
60,Jakob,Ellemann-Jensen,Venstre (V),Medlem af Folketinget
61,Claus Hjort,Frederiksen,Venstre (V),Medlem af Folketinget
62,Mads ,Fuglede,Venstre (V),Medlem af Folketinget
63,Martin,Geertsen,Venstre (V),Medlem af Folketinget
64,Eva Kjer,Hansen,Venstre (V),Medlem af Folketinget
65,Jane,Heitmann,Venstre (V),Medlem af Folketinget
66,Preben Bang,Henriksen,Venstre (V),Medlem af Folketinget
67,Anne,Honoré Østergaard,Venstre (V),Medlem af Folketinget
68,Bertel,Haarder,Venstre (V),Medlem af Folketinget
69,Jacob,Jensen,Venstre (V),Medlem af Folketinget
70,Michael Aastrup,Jensen,Venstre (V),Medlem af Folketinget
71,Peter,Juel-Jensen,Venstre (V),Medlem af Folketinget
72,Jan E.,Jørgensen,Venstre (V),Medlem af Folketinget
73,Carsten,Kissmeyer,Venstre (V),Medlem af Folketinget
74,Stén,Knuth,Venstre (V),Medlem af Folketinget
75,Karsten,Lauritzen,Venstre (V),Medlem af Folketinget
76,Lars Christian,Lilleholt,Venstre (V),Medlem af Folketinget
77,Kristian Pihl,Lorentzen,Venstre (V),Medlem af Folketinget
78,Sophie,Løhde,Venstre (V),Medlem af Folketinget
79,Anni,Matthiesen,Venstre (V),Medlem af Folketinget
80,Christoffer Aagaard,Melson,Venstre (V),Medlem af Folketinget
81,Kenneth,Mikkelsen,Venstre (V),Medlem af Folketinget
82,Ellen Trane,Nørby,Venstre (V),Medlem af Folketinget
83,Torsten Schack,Pedersen,Venstre (V),Medlem af Folketinget
84,Troels Lund,Poulsen,Venstre (V),Medlem af Folketinget
85,Hans Christian,Schmidt,Venstre (V),Medlem af Folketinget
86,Ulla,Tørnæs,Venstre (V),Medlem af Folketinget
87,Kim,Valentin,Venstre (V),Medlem af Folketinget
88,Fatma,Øktem,Venstre (V),Medlem af Folketinget
89,Karina,Adsbøl,Dansk Folkeparti (DF),Medlem af Folketinget
90,Alex,Ahrendtsen,Dansk Folkeparti (DF),Medlem af Folketinget
91,Lise,Bech,Dansk Folkeparti (DF),Medlem af Folketinget
92,Liselott,Blixt,Dansk Folkeparti (DF),Medlem af Folketinget
93,Bent,Bøgsted,Dansk Folkeparti (DF),Medlem af Folketinget
94,René,Christensen,Dansk Folkeparti (DF),Medlem af Folketinget
95,Jens Henrik Thulesen,Dahl,Dansk Folkeparti (DF),Medlem af Folketinget
96,Kristian Thulesen,Dahl,Dansk Folkeparti (DF),Medlem af Folketinget
97,Mette Hjermind,Dencker,Dansk Folkeparti (DF),Medlem af Folketinget
98,Søren,Espersen,Dansk Folkeparti (DF),Medlem af Folketinget
99,Dennis,Flydtkjær,Dansk Folkeparti (DF),Medlem af Folketinget
100,Pia,Kjærsgaard,Dansk Folkeparti (DF),Medlem af Folketinget
101,Marie,Krarup,Dansk Folkeparti (DF),Medlem af Folketinget
102,Morten,Messerschmidt,Dansk Folkeparti (DF),Medlem af Folketinget
103,Hans Kristian,Skibby,Dansk Folkeparti (DF),Medlem af Folketinget
104,Peter,Skaarup,Dansk Folkeparti (DF),Medlem af Folketinget
105,Kirsten Normann,Andersen,Socialistisk Folkeparti (SF),Medlem af Folketinget
106,Lisbeth,Bech-Nielsen,Socialistisk Folkeparti (SF),Medlem af Folketinget
107,Anne Valentina,Berthelsen,Socialistisk Folkeparti (SF),Medlem af Folketinget
108,Astrid,Carøe,Socialistisk Folkeparti (SF),Medlem af Folketinget
109,Karina Lorentzen,Dehnhardt,Socialistisk Folkeparti (SF),Medlem af Folketinget
110,Pia Olsen,Dyhr,Socialistisk Folkeparti (SF),Medlem af Folketinget
111,Karsten,Hønge,Socialistisk Folkeparti (SF),Medlem af Folketinget
112,Jacob,Mark,Socialistisk Folkeparti (SF),Medlem af Folketinget
113,Signe,Munk,Socialistisk Folkeparti (SF),Medlem af Folketinget
114,Charlotte Broman,Mølbæk,Socialistisk Folkeparti (SF),Medlem af Folketinget
115,Rasmus,Nordqvist,Socialistisk Folkeparti (SF),Medlem af Folketinget
116,Halime,Oguz,Socialistisk Folkeparti (SF),Medlem af Folketinget
117,Ina,Strøjer-Schmidt,Socialistisk Folkeparti (SF),Medlem af Folketinget
118,Trine,Torp,Socialistisk Folkeparti (SF),Medlem af Folketinget
119,Carl,Valentin,Socialistisk Folkeparti (SF),Medlem af Folketinget
120,Anne Sophie,Callesen,Radikale Venstre (RV),Medlem af Folketinget
121,Kristian,Hegaard,Radikale Venstre (RV),Medlem af Folketinget
122,Marianne,Jelved,Radikale Venstre (RV),Medlem af Folketinget
123,Susan,Kronborg,Radikale Venstre (RV),Medlem af Folketinget
124,Martin,Lidegaard,Radikale Venstre (RV),Medlem af Folketinget
125,Stinus,Lindgreen,Radikale Venstre (RV),Medlem af Folketinget
126,Samira,Nawa,Radikale Venstre (RV),Medlem af Folketinget
127,Sofie Carsten,Nielsen,Radikale Venstre (RV),Medlem af Folketinget
128,Kathrine,Olldag,Radikale Venstre (RV),Medlem af Folketinget
129,Rasmus Helveg,Petersen,Radikale Venstre (RV),Medlem af Folketinget
130,Katrine,Robsøe,Radikale Venstre (RV),Medlem af Folketinget
131,Lotte,Rod,Radikale Venstre (RV),Medlem af Folketinget
132,Zenia,Stampe,Radikale Venstre (RV),Medlem af Folketinget
133,Andreas,Steenberg,Radikale Venstre (RV),Medlem af Folketinget
134,Eva,Flyvholm,Enhedslisten (EL),Medlem af Folketinget
135,Jette,Gottlieb,Enhedslisten (EL),Medlem af Folketinget
136,Peder,Hvelplund,Enhedslisten (EL),Medlem af Folketinget
137,Henning,Hyllested,Enhedslisten (EL),Medlem af Folketinget
138,Christian,Juhl,Enhedslisten (EL),Medlem af Folketinget
139,Rune,Lund,Enhedslisten (EL),Medlem af Folketinget
140,Rosa,Lund,Enhedslisten (EL),Medlem af Folketinget
141,Søren Egge,Rasmussen,Enhedslisten (EL),Medlem af Folketinget
142,Pernille,Skipper,Enhedslisten (EL),Medlem af Folketinget
143,Jakob,Sølvhøj,Enhedslisten (EL),Medlem af Folketinget
144,Søren,Søndergaard,Enhedslisten (EL),Medlem af Folketinget
145,Victoria,Velasquez,Enhedslisten (EL),Medlem af Folketinget
146,Mai,Villadsen,Enhedslisten (EL),Medlem af Folketinget
147,Mette,Abildgaard,Det Konservative Folkeparti (KF),Medlem af Folketinget
148,Katarina,Ammitzbøll,Det Konservative Folkeparti (KF),Medlem af Folketinget
149,Mads ,Andersen,Det Konservative Folkeparti (KF),Stedfortræder
150,Britt,Bager,Det Konservative Folkeparti (KF),Medlem af Folketinget
151,Birgitte,Bergman,Det Konservative Folkeparti (KF),Medlem af Folketinget
152,Niels Flemming,Hansen,Det Konservative Folkeparti (KF),Medlem af Folketinget
153,Rasmus,Jarlov,Det Konservative Folkeparti (KF),Medlem af Folketinget
154,Mona,Juul,Det Konservative Folkeparti (KF),Medlem af Folketinget
155,Naser,Khader,Det Konservative Folkeparti (KF),Medlem af Folketinget
156,Brigitte,Klintskov Jerkel,Det Konservative Folkeparti (KF),Medlem af Folketinget
157,Marcus,Knuth,Det Konservative Folkeparti (KF),Medlem af Folketinget
158,Per,Larsen,Det Konservative Folkeparti (KF),Medlem af Folketinget
159,Mai,Mercado,Det Konservative Folkeparti (KF),Medlem af Folketinget
160,Søren Pape,Poulsen,Det Konservative Folkeparti (KF),Medlem af Folketinget
161,Lars Boje,Mathiesen,Nye Borgerlige (NB),Medlem af Folketinget
162,Peter,Seier Christensen,Nye Borgerlige (NB),Medlem af Folketinget
163,Mette,Thiesen,Nye Borgerlige (NB),Medlem af Folketinget
164,Pernille,Vermund,Nye Borgerlige (NB),Medlem af Folketinget
165,Henrik,Dahl,Liberal Alliance (LA),Medlem af Folketinget
166,Ole Birk,Olesen,Liberal Alliance (LA),Medlem af Folketinget
167,Alex,Vanopslagh,Liberal Alliance (LA),Medlem af Folketinget
168,Torsten,Gejl,Alternativet (ALT),Medlem af Folketinget
169,Jens,Rohde,Kristendemokraterne (KD),Medlem af Folketinget
170,Aaja Chemnitz,Larsen,Inuit Ataqatigiit (IA),Medlem af Folketinget
171,Aki-Matilda,Høegh-Dam,Siumut (SIU),Medlem af Folketinget
172,Edmund,Joensen,Sambandsflokkurin (SP),Medlem af Folketinget
173,Sjúrður,Skaale,Javnaðarflokkurin (JF),Medlem af Folketinget
174,Simon Emil,Ammitzbøll-Bille,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
175,Uffe,Elbæk,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
176,Lars Løkke,Rasmussen,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
177,Sikandar,Siddique,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
178,Inger,Støjberg,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
179,Susanne,Zimmer,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
180,Orla,Østerby,Uden for folketingsgrupperne (UFG),Medlem af Folketinget
